Freq.	V(n001)-V(n002)	I(D1)
1.44543977074592e+01	(-5.92726430852451e+01dB,-9.79221719428515e-05°)	(-8.00949629205516e+01dB,1.07645785070427e-06°)
1.44877185354475e+01	(-5.92726430852450e+01dB,-9.81479058622842e-05°)	(-8.00949629205516e+01dB,1.07893934232916e-06°)
1.45211161758773e+01	(-5.92726430852451e+01dB,-9.83741601521439e-05°)	(-8.00949629205516e+01dB,1.08142655438430e-06°)
1.45545908058195e+01	(-5.92726430852451e+01dB,-9.86009360120052e-05°)	(-8.00949629205516e+01dB,1.08391950005946e-06°)
1.45881426027534e+01	(-5.92726430852453e+01dB,-9.88282346442178e-05°)	(-8.00949629205516e+01dB,1.08641819256278e-06°)
1.46217717445671e+01	(-5.92726430852453e+01dB,-9.90560572538911e-05°)	(-8.00949629205516e+01dB,1.08892264514835e-06°)
1.46554784095590e+01	(-5.92726430852455e+01dB,-9.92844050489208e-05°)	(-8.00949629205516e+01dB,1.09143287109169e-06°)
1.46892627764385e+01	(-5.92726430852454e+01dB,-9.95132792399788e-05°)	(-8.00949629205516e+01dB,1.09394888370662e-06°)
1.47231250243271e+01	(-5.92726430852455e+01dB,-9.97426810405371e-05°)	(-8.00949629205516e+01dB,1.09647069633148e-06°)
1.47570653327588e+01	(-5.92726430852456e+01dB,-9.99726116668652e-05°)	(-8.00949629205516e+01dB,1.09899832232908e-06°)
1.47910838816819e+01	(-5.92726430852457e+01dB,-1.00203072338025e-04°)	(-8.00949629205516e+01dB,1.10153177511128e-06°)
1.48251808514594e+01	(-5.92726430852457e+01dB,-1.00434064275901e-04°)	(-8.00949629205516e+01dB,1.10407106810215e-06°)
1.48593564228699e+01	(-5.92726430852458e+01dB,-1.00665588705187e-04°)	(-8.00949629205516e+01dB,1.10661621476867e-06°)
1.48936107771090e+01	(-5.92726430852460e+01dB,-1.00897646853405e-04°)	(-8.00949629205516e+01dB,1.10916722860386e-06°)
1.49279440957898e+01	(-5.92726430852460e+01dB,-1.01130239950902e-04°)	(-8.00949629205516e+01dB,1.11172412313289e-06°)
1.49623565609442e+01	(-5.92726430852459e+01dB,-1.01363369230862e-04°)	(-8.00949629205516e+01dB,1.11428691191615e-06°)
1.49968483550236e+01	(-5.92726430852461e+01dB,-1.01597035929317e-04°)	(-8.00949629205516e+01dB,1.11685560853550e-06°)
1.50314196609001e+01	(-5.92726430852461e+01dB,-1.01831241285143e-04°)	(-8.00949629205516e+01dB,1.11943022661105e-06°)
1.50660706618673e+01	(-5.92726430852462e+01dB,-1.02065986540072e-04°)	(-8.00949629205516e+01dB,1.12201077979511e-06°)
1.51008015416413e+01	(-5.92726430852462e+01dB,-1.02301272938701e-04°)	(-8.00949629205516e+01dB,1.12459728176753e-06°)
1.51356124843619e+01	(-5.92726430852465e+01dB,-1.02537101728499e-04°)	(-8.00949629205516e+01dB,1.12718974624340e-06°)
1.51705036745932e+01	(-5.92726430852464e+01dB,-1.02773474159798e-04°)	(-8.00949629205516e+01dB,1.12978818696997e-06°)
1.52054752973248e+01	(-5.92726430852466e+01dB,-1.03010391485828e-04°)	(-8.00949629205516e+01dB,1.13239261771900e-06°)
1.52405275379728e+01	(-5.92726430852466e+01dB,-1.03247854962701e-04°)	(-8.00949629205516e+01dB,1.13500305229899e-06°)
1.52756605823806e+01	(-5.92726430852467e+01dB,-1.03485865849424e-04°)	(-8.00949629205516e+01dB,1.13761950455062e-06°)
1.53108746168201e+01	(-5.92726430852466e+01dB,-1.03724425407900e-04°)	(-8.00949629205516e+01dB,1.14024198835439e-06°)
1.53461698279928e+01	(-5.92726430852468e+01dB,-1.03963534902961e-04°)	(-8.00949629205516e+01dB,1.14287051760152e-06°)
1.53815464030302e+01	(-5.92726430852469e+01dB,-1.04203195602329e-04°)	(-8.00949629205516e+01dB,1.14550510623987e-06°)
1.54170045294954e+01	(-5.92726430852470e+01dB,-1.04443408776670e-04°)	(-8.00949629205516e+01dB,1.14814576822807e-06°)
1.54525443953840e+01	(-5.92726430852470e+01dB,-1.04684175699566e-04°)	(-8.00949629205516e+01dB,1.15079251757372e-06°)
1.54881661891247e+01	(-5.92726430852472e+01dB,-1.04925497647543e-04°)	(-8.00949629205516e+01dB,1.15344536830435e-06°)
1.55238700995807e+01	(-5.92726430852473e+01dB,-1.05167375900063e-04°)	(-8.00949629205516e+01dB,1.15610433448577e-06°)
1.55596563160506e+01	(-5.92726430852474e+01dB,-1.05409811739543e-04°)	(-8.00949629205516e+01dB,1.15876943021749e-06°)
1.55955250282694e+01	(-5.92726430852473e+01dB,-1.05652806451343e-04°)	(-8.00949629205516e+01dB,1.16144066963731e-06°)
1.56314764264094e+01	(-5.92726430852474e+01dB,-1.05896361323812e-04°)	(-8.00949629205516e+01dB,1.16411806689067e-06°)
1.56675107010813e+01	(-5.92726430852476e+01dB,-1.06140477648248e-04°)	(-8.00949629205516e+01dB,1.16680163618583e-06°)
1.57036280433354e+01	(-5.92726430852476e+01dB,-1.06385156718928e-04°)	(-8.00949629205516e+01dB,1.16949139174789e-06°)
1.57398286446620e+01	(-5.92726430852477e+01dB,-1.06630399833120e-04°)	(-8.00949629205516e+01dB,1.17218734783409e-06°)
1.57761126969933e+01	(-5.92726430852476e+01dB,-1.06876208291074e-04°)	(-8.00949629205516e+01dB,1.17488951874459e-06°)
1.58124803927037e+01	(-5.92726430852479e+01dB,-1.07122583396049e-04°)	(-8.00949629205516e+01dB,1.17759791879943e-06°)
1.58489319246110e+01	(-5.92726430852478e+01dB,-1.07369526454294e-04°)	(-8.00949629205516e+01dB,1.18031256236461e-06°)
1.58854674859776e+01	(-5.92726430852479e+01dB,-1.07617038775082e-04°)	(-8.00949629205516e+01dB,1.18303346382604e-06°)
1.59220872705115e+01	(-5.92726430852481e+01dB,-1.07865121670697e-04°)	(-8.00949629205516e+01dB,1.18576063761405e-06°)
