time,original,quantized,error
0.2896250000,-1.4142135624,-1.4375000000,0.0232864376
0.2896458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2896666667,-1.7320508076,-1.7500000000,0.0179491924
0.2896875000,-1.8477590650,-1.8750000000,0.0272409350
0.2897083333,-1.9318516526,-1.9375000000,0.0056483474
0.2897291667,-1.9828897227,-2.0000000000,0.0171102773
0.2897500000,-2.0000000000,-2.0000000000,0.0000000000
0.2897708333,-1.9828897227,-2.0000000000,0.0171102773
0.2897916667,-1.9318516526,-1.9375000000,0.0056483474
0.2898125000,-1.8477590650,-1.8750000000,0.0272409350
0.2898333333,-1.7320508076,-1.7500000000,0.0179491924
0.2898541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2898750000,-1.4142135624,-1.4375000000,0.0232864376
0.2898958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2899166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2899375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2899583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2899791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2900000000,-0.0000000000,0.0000000000,-0.0000000000
0.2900208333,0.2610523844,0.2500000000,0.0110523844
0.2900416667,0.5176380902,0.5000000000,0.0176380902
0.2900625000,0.7653668647,0.7500000000,0.0153668647
0.2900833333,1.0000000000,1.0000000000,-0.0000000000
0.2901041667,1.2175228580,1.1875000000,0.0300228580
0.2901250000,1.4142135624,1.4375000000,-0.0232864376
0.2901458333,1.5867066806,1.5625000000,0.0242066806
0.2901666667,1.7320508076,1.7500000000,-0.0179491924
0.2901875000,1.8477590650,1.8750000000,-0.0272409350
0.2902083333,1.9318516526,1.9375000000,-0.0056483474
0.2902291667,1.9828897227,2.0000000000,-0.0171102773
0.2902500000,2.0000000000,2.0000000000,0.0000000000
0.2902708333,1.9828897227,2.0000000000,-0.0171102773
0.2902916667,1.9318516526,1.9375000000,-0.0056483474
0.2903125000,1.8477590650,1.8750000000,-0.0272409350
0.2903333333,1.7320508076,1.7500000000,-0.0179491924
0.2903541667,1.5867066806,1.5625000000,0.0242066806
0.2903750000,1.4142135624,1.4375000000,-0.0232864376
0.2903958333,1.2175228580,1.1875000000,0.0300228580
0.2904166667,1.0000000000,1.0000000000,0.0000000000
0.2904375000,0.7653668647,0.7500000000,0.0153668647
0.2904583333,0.5176380902,0.5000000000,0.0176380902
0.2904791667,0.2610523844,0.2500000000,0.0110523844
0.2905000000,0.0000000000,0.0000000000,0.0000000000
0.2905208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2905416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2905625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2905833333,-1.0000000000,-1.0000000000,0.0000000000
0.2906041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2906250000,-1.4142135624,-1.4375000000,0.0232864376
0.2906458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2906666667,-1.7320508076,-1.7500000000,0.0179491924
